-65.000,-30.000,-36.000,1.241,0.940,0.306
-58.000,-57.000,-5.000,1.400,0.595,0.111
-65.000,-21.000,-44.000,0.946,1.685,0.317
-54.000,-60.000,-5.000,1.013,0.594,0.101
-65.000,-14.000,-51.000,0.810,1.488,0.084
-51.000,-56.000,-12.000,1.026,0.733,0.337
-65.000,-7.000,-56.000,0.885,1.643,0.260
-49.000,-51.000,-20.000,1.292,0.574,0.424
-47.000,-62.000,-5.000,0.806,0.677,0.111
-65.000,-1.000,-60.000,0.857,1.501,0.248
-48.000,-44.000,-28.000,1.169,0.719,0.375
-44.000,-63.000,-5.000,1.371,0.580,0.112
-63.000,0.000,-61.000,1.177,0.903,0.150
-48.000,-36.000,-35.000,1.199,0.875,0.111
-42.000,-58.000,-12.000,0.995,0.744,0.358
-61.000,0.000,-61.000,1.343,0.911,0.158
-51.000,-21.000,-47.000,0.999,0.597,0.175
-39.000,-63.000,-4.000,0.832,0.584,0.342
-58.000,0.000,-60.000,1.195,0.920,0.274
-37.000,-64.000,-1.000,0.901,0.554,0.144
-56.000,0.000,-58.000,0.769,0.881,0.243
-36.000,-56.000,-10.000,0.818,0.729,0.398
-54.000,0.000,-57.000,0.742,0.922,0.180
-35.000,-54.000,-11.000,0.823,1.159,0.173
-53.000,0.000,-55.000,0.625,0.882,0.110
-34.000,-53.000,-9.000,1.132,0.892,0.161
-51.000,0.000,-52.000,0.713,0.861,0.320
-34.000,-48.000,-11.000,1.070,0.759,0.187
-50.000,0.000,-49.000,0.622,0.832,0.165
-34.000,-46.000,-9.000,1.042,0.573,0.167
-50.000,0.000,-46.000,0.618,0.855,0.408
-37.000,-32.000,-20.000,0.832,0.467,0.469
-35.000,-41.000,-10.000,0.880,0.983,0.415
-49.000,0.000,-40.000,1.274,0.821,0.388
-46.000,-7.000,-36.000,1.278,0.344,0.343
-36.000,-39.000,-6.000,0.807,0.733,0.358
-50.000,0.000,-35.000,0.644,0.805,0.098
-39.000,-29.000,-10.000,0.746,0.828,0.402
-51.000,0.000,-27.000,0.780,0.763,0.040
-42.000,-26.000,-3.000,0.979,0.456,0.122
-54.000,0.000,-15.000,0.739,0.784,0.093
-49.000,-13.000,-4.000,1.459,0.200,0.338
-65.000,-59.000,-5.000,0.789,0.651,0.103
-65.000,-41.000,-31.000,0.791,1.002,-0.000
-60.000,-63.000,-4.000,1.078,0.509,0.312
-65.000,-30.000,-43.000,1.066,1.245,0.048
-56.000,-60.000,-12.000,0.829,0.551,0.318
-65.000,-21.000,-52.000,0.818,1.739,0.246
-51.000,-68.000,-4.000,0.931,0.859,0.308
-65.000,-14.000,-59.000,0.811,1.525,0.106
-47.000,-70.000,-4.000,0.927,0.592,0.303
-65.000,-7.000,-64.000,0.802,1.630,0.186
-44.000,-65.000,-13.000,1.388,0.601,0.135
-65.000,0.000,-69.000,0.780,1.128,0.215
-41.000,-64.000,-16.000,0.909,0.537,0.373
-40.000,-70.000,-7.000,1.348,0.637,0.117
-62.000,0.000,-69.000,0.831,1.011,0.220
-39.000,-59.000,-22.000,0.748,0.766,0.424
-37.000,-70.000,-9.000,0.979,0.703,0.124
-60.000,0.000,-70.000,1.096,1.019,0.199
-38.000,-53.000,-29.000,1.086,0.876,0.074
-34.000,-72.000,-5.000,1.021,0.772,0.126
-57.000,0.000,-69.000,0.879,1.013,0.221
-38.000,-45.000,-36.000,0.981,0.552,0.357
-32.000,-68.000,-11.000,1.095,1.016,0.145
-55.000,1.000,-69.000,1.073,1.205,0.229
-40.000,-33.000,-46.000,1.019,0.624,0.400
-30.000,-66.000,-11.000,0.650,0.764,0.163
-52.000,0.000,-67.000,1.156,0.894,0.213
-55.000,5.000,-70.000,1.105,1.503,0.220
-28.000,-67.000,-8.000,1.160,1.181,0.344
-50.000,0.000,-65.000,0.627,0.795,0.205
-27.000,-63.000,-11.000,0.969,0.606,0.165
-48.000,0.000,-63.000,0.854,0.792,0.218
-26.000,-62.000,-11.000,1.307,0.668,0.175
